batsman,batsman_runs
SK Raina,4548
V Kohli,4423
RG Sharma,4207
G Gambhir,4132
DA Warner,4014
RV Uthappa,3778
CH Gayle,3651
S Dhawan,3561
MS Dhoni,3560
AB de Villiers,3486
AM Rahane,3057
YK Pathan,2922
KD Karthik,2903
BB McCullum,2755
V Sehwag,2728
SR Watson,2628
Yuvraj Singh,2591
M Vijay,2511
SE Marsh,2489
JH Kallis,2427
AT Rayudu,2416
DR Smith,2385
KA Pollard,2354
SR Tendulkar,2334
PA Patel,2322
MK Pandey,2223
R Dravid,2174
AC Gilchrist,2069
JP Duminy,1993
MEK Hussey,1977
